"measurementID","eventID","measurementType","measurementValue","measurementUnit","measurementMethod","measurementRemarks"
"PM4-T1_1_m18","PM4-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","15.882456",NA,NA,"Calculated as percentage of carbon divided by percentage of nitrogen"
"PM4-T1_1_m19","PM4-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","224.1676501",NA,NA,"Calculated as percentage of carbon divided by percentage of phosphorus"
"PM4-T1_1_m20","PM4-T1","Ratio (SIO:001018) of percentage (SIO:001413) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","14.11416786",NA,NA,"Calculated as percentage of nitrogen divided by percentage of phosphorus"
"PM4-T1_1_m21","PM4-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","18.52732794",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of nitrogen"
"PM4-T1_1_m22","PM4-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","578.0576289",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of phosphorus"
"PM4-T1_1_m23","PM4-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","31.20026971",NA,NA,"Calculated as molar concentration of nitrogen divided by molar concentration of phosphorus"
"PM5-T1_1_m1","PM5-T1","Phosphorus treatment (AGRO:00000322)","yes",NA,NA,NA
"PM5-T1_1_m2","PM5-T1","Liming process (AGRO:00000112) treatment (AGRO:00000322)","yes",NA,NA,NA
"PM5-T1_1_m3","PM5-T1","Aluminium (CHEBI:28984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","7.199281839","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM5-T1_1_m4","PM5-T1","Calcium (CHEBI:22984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","108.6119596","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
